timestamp,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L3_LDM,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_PRF_DM,PAPI_STL_CCY,PAPI_BR_INS,power
13:29:2.611,0,0,0,0,0,0,0,0,0,0, 0.00
13:29:3.615,173,329,719,186,13,16,24,86,9549,80, 6.35
13:29:4.616,61,215,395,192,13,14,20,78,9350,80, 6.22
13:29:5.618,62,232,421,209,13,14,20,90,10316,80, 6.15
13:29:6.619,60,236,395,200,13,15,19,86,10273,80, 6.21
13:29:7.620,61,219,396,195,14,16,20,84,8681,80, 6.19
13:29:8.621,57,220,411,235,12,20,23,63,8036,80, 6.13
13:29:9.623,57,216,437,197,12,15,22,65,6911,80, 6.16
13:29:10.624,60,223,436,213,13,15,22,70,10064,80, 6.21
13:29:11.625,59,235,428,196,13,16,21,75,12754,80, 6.26
13:29:12.653,58,229,403,200,13,15,24,84,11899,80, 6.37
13:29:13.655,55,227,401,187,13,17,20,64,9849,80, 6.19
13:29:14.656,63,225,427,194,13,15,22,69,9345,80, 6.18
13:29:15.657,65,156,401,221,12,15,20,92,10565,80, 6.22
13:29:16.659,60,153,319,210,12,19,21,77,10094,80, 6.27
13:29:17.660,60,229,452,117,10,18,21,91,11216,80, 6.74
13:29:18.661,60,146,317,232,12,16,19,62,8270,80, 7.79
13:29:19.663,59,225,451,203,13,15,23,74,47635,80, 6.99
13:29:20.664,64,205,434,195,12,15,21,67,8401,80, 6.71
